"date_report","province","c_daily","d_daily","c_pum","d_pum"
2020-04-07,"Ontario",548,27,5395,189
2020-04-07,"Quebec",760,29,9340,150
2020-04-07,"Saskatchewan",7,0,260,3
2020-04-08,"Alberta",50,3,1423,29
2020-04-08,"British Columbia",45,5,1336,48
2020-04-08,"Manitoba",4,0,221,3
2020-04-08,"New Brunswick",3,0,108,0
2020-04-08,"Newfoundland and Labrador",4,0,232,2
2020-04-08,"Nova Scotia",32,0,342,1
2020-04-08,"Ontario",447,22,5842,211
2020-04-08,"Prince Edward Island",3,0,25,0
2020-04-08,"Quebec",691,25,10031,175
2020-04-08,"Saskatchewan",11,0,271,3
2020-04-08,"Yukon",1,0,8,0
2020-04-09,"Alberta",28,3,1451,32
2020-04-09,"British Columbia",34,2,1370,50
2020-04-09,"Manitoba",3,0,224,3
2020-04-09,"New Brunswick",3,0,111,0
2020-04-09,"Newfoundland and Labrador",4,0,236,2
2020-04-09,"Nova Scotia",31,1,373,2
2020-04-09,"Ontario",559,22,6401,233
2020-04-09,"Quebec",881,41,10912,216
2020-04-09,"Saskatchewan",7,0,278,3
2020-04-10,"Alberta",49,7,1500,39
2020-04-10,"British Columbia",40,5,1410,55
2020-04-10,"Manitoba",6,1,230,4
2020-04-10,"New Brunswick",1,0,112,0
2020-04-10,"Newfoundland and Labrador",3,1,239,3
2020-04-10,"Nova Scotia",34,0,407,2
2020-04-10,"Ontario",407,36,6808,269
2020-04-10,"Quebec",765,25,11677,241
2020-04-10,"Saskatchewan",7,0,285,3
