"country","date","cases"
"Germany","2020-06-22",496
"Germany","2020-06-23",712
"Germany","2020-06-24",391
"Germany","2020-06-25",500
"Germany","2020-06-26",665
"Germany","2020-06-27",422
"Germany","2020-06-28",235
"Germany","2020-06-29",349
"Germany","2020-06-30",376
"Germany","2020-07-01",475
"Germany","2020-07-02",477
"Germany","2020-07-03",410
"Germany","2020-07-04",418
"Germany","2020-07-05",325
"Germany","2020-07-06",541
"Germany","2020-07-07",279
"Germany","2020-07-08",356
"Germany","2020-07-09",302
"Germany","2020-07-10",331
"Germany","2020-07-11",377
"Germany","2020-07-12",210
"Germany","2020-07-13",261
"Germany","2020-07-14",276
"Germany","2020-07-15",434
"Germany","2020-07-16",560
"Germany","2020-07-17",595
"Germany","2020-07-18",381
"Germany","2020-07-19",309
"Germany","2020-07-20",590
"Germany","2020-07-21",392
"Germany","2020-07-22",559
"Germany","2020-07-23",605
"Germany","2020-07-24",742
"Germany","2020-07-25",655
"Germany","2020-07-26",389
"Germany","2020-07-27",445
"Germany","2020-07-28",595
"Germany","2020-07-29",839
"Germany","2020-07-30",989
"Germany","2020-07-31",864
"Germany","2020-08-01",606
"Germany","2020-08-02",215
"Germany","2020-08-03",891
"Germany","2020-08-04",717
"Germany","2020-08-05",1285
"Germany","2020-08-06",926
"Germany","2020-08-07",1157
"Germany","2020-08-08",707
"Germany","2020-08-09",385
"Germany","2020-08-10",1220
"Germany","2020-08-11",1032
"Germany","2020-08-12",1319
"Germany","2020-08-13",1422
"Germany","2020-08-14",1510
"Germany","2020-08-15",697
"Germany","2020-08-16",519
"Germany","2020-08-17",1693
"Germany","2020-08-18",1420
"Germany","2020-08-19",1586
"Germany","2020-08-20",1586
"Germany","2020-08-21",1737
"Germany","2020-08-22",832
"Germany","2020-08-23",633
"Germany","2020-08-24",1628
"Germany","2020-08-25",1461
"Germany","2020-08-26",1427
"Germany","2020-08-27",1561
"Germany","2020-08-28",1555
"Germany","2020-08-29",709
"Germany","2020-08-30",470
"Germany","2020-08-31",1497
"Germany","2020-09-01",1213
"Germany","2020-09-02",1396
"Germany","2020-09-03",1429
"Germany","2020-09-04",1443
"Germany","2020-09-05",775
"Germany","2020-09-06",670
"Germany","2020-09-07",1898
"Germany","2020-09-08",1331
"Germany","2020-09-09",1476
"Germany","2020-09-10",1716
"Germany","2020-09-11",1586
"Germany","2020-09-12",1082
"Germany","2020-09-13",920
"Germany","2020-09-14",1485
"Germany","2020-09-15",1792
"Germany","2020-09-16",1855
"Germany","2020-09-17",2179
"Germany","2020-09-18",2199
"Germany","2020-09-19",1685
"Germany","2020-09-20",1033
"Germany","2020-09-21",1595
"Germany","2020-09-22",1852
"Germany","2020-09-23",1613
"Germany","2020-09-24",2321
"Germany","2020-09-25",2366
"Germany","2020-09-26",1314
"Germany","2020-09-27",1313
"Germany","2020-09-28",2292
"Germany","2020-09-29",1840
"Germany","2020-09-30",2442
"Germany","2020-10-01",2626
"Germany","2020-10-02",2835
"Germany","2020-10-03",1653
"Germany","2020-10-04",1546
"Germany","2020-10-05",3100
"Germany","2020-10-06",2454
"Germany","2020-10-07",4010
"Germany","2020-10-08",4804
"Germany","2020-10-09",4554
"Germany","2020-10-10",2968
"Germany","2020-10-11",2846
"Germany","2020-10-12",6541
"Germany","2020-10-13",4464
"Germany","2020-10-14",7173
"Germany","2020-10-15",7620
"Germany","2020-10-16",7695
"Germany","2020-10-17",4862
"Germany","2020-10-18",4007
"Germany","2020-10-19",8397
"Germany","2020-10-20",8523
"Germany","2020-10-21",12331
"Germany","2020-10-22",5952
"Germany","2020-10-23",13476
"Germany","2020-10-24",10458
"Germany","2020-10-25",9890
"Germany","2020-10-26",12560
"Germany","2020-10-27",13161
"Germany","2020-10-28",16202
"Germany","2020-10-29",18733
"Germany","2020-10-30",19382
"Germany","2020-10-31",14054
"Germany","2020-11-01",12556
"Germany","2020-11-02",25252
"Germany","2020-11-03",7533
"Germany","2020-11-04",31480
"Germany","2020-11-05",22561
"Germany","2020-11-06",22820
"Germany","2020-11-07",14122
"Germany","2020-11-08",14510
"Germany","2020-11-09",6522
"Germany","2020-11-10",26547
"Germany","2020-11-11",22401
"Germany","2020-11-12",24738
"Germany","2020-11-13",22261
"Germany","2020-11-14",14640
"Germany","2020-11-15",3213
"Germany","2020-11-16",14580
"Germany","2020-11-17",26231
"Germany","2020-11-18",23727
"Germany","2020-11-19",24041
"Germany","2020-11-20",22593
"Germany","2020-11-21",13872
"Germany","2020-11-22",4377
"Germany","2020-11-23",14455
"Germany","2020-11-24",16370
"Germany","2020-11-25",32687
"Germany","2020-11-26",21951
"Germany","2020-11-27",20819
"Germany","2020-11-28",13845
"Germany","2020-11-29",3197
"Germany","2020-11-30",14221
"Germany","2020-12-01",24766
"Germany","2020-12-02",23275
"Germany","2020-12-03",23591
"Germany","2020-12-04",15970
"Germany","2020-12-05",26126
"Germany","2020-12-06",10910
"Germany","2020-12-07",5456
"Germany","2020-12-08",29263
"Germany","2020-12-09",25089
"Germany","2020-12-10",32734
"Germany","2020-12-11",27217
"Germany","2020-12-12",21792
"Germany","2020-12-13",14709
"Germany","2020-12-14",6451
"Germany","2020-12-15",33825
"Germany","2020-12-16",32744
"Germany","2020-12-17",30179
"Germany","2020-12-18",32830
"Germany","2020-12-19",21679
"Germany","2020-12-20",6444
"Germany","2020-12-21",19256
"Germany","2020-12-22",36153
"Italy","2020-01-22",0
"Italy","2020-01-23",0
"Italy","2020-01-24",0
"Italy","2020-01-25",0
"Italy","2020-01-26",0
"Italy","2020-01-27",0
"Italy","2020-01-28",0
"Italy","2020-01-29",0
"Italy","2020-01-30",0
"Italy","2020-01-31",2
"Italy","2020-02-01",0
"Italy","2020-02-02",0
"Italy","2020-02-03",0
"Italy","2020-02-04",0
"Italy","2020-02-05",0
"Italy","2020-02-06",0
"Italy","2020-02-07",1
"Italy","2020-02-08",0
"Italy","2020-02-09",0
"Italy","2020-02-10",0
"Italy","2020-02-11",0
"Italy","2020-02-12",0
"Italy","2020-02-13",0
"Italy","2020-02-14",0
"Italy","2020-02-15",0
"Italy","2020-02-16",0
"Italy","2020-02-17",0
"Italy","2020-02-18",0
"Italy","2020-02-19",0
"Italy","2020-02-20",0
"Italy","2020-02-21",17
"Italy","2020-02-22",42
"Italy","2020-02-23",93
"Italy","2020-02-24",74
"Italy","2020-02-25",93
"Italy","2020-02-26",131
"Italy","2020-02-27",202
"Italy","2020-02-28",233
"Italy","2020-02-29",240
"Italy","2020-03-01",566
"Italy","2020-03-02",342
"Italy","2020-03-03",466
"Italy","2020-03-04",587
"Italy","2020-03-05",769
"Italy","2020-03-06",778
"Italy","2020-03-07",1247
"Italy","2020-03-08",1492
"Italy","2020-03-09",1797
"Italy","2020-03-10",977
"Italy","2020-03-11",2313
"Italy","2020-03-12",2651
"Italy","2020-03-13",2547
"Italy","2020-03-14",3497
"Italy","2020-03-15",3590
"Italy","2020-03-16",3233
"Italy","2020-03-17",3526
"Italy","2020-03-18",4207
"Italy","2020-03-19",5322
"Italy","2020-03-20",5986
"Italy","2020-03-21",6557
"Italy","2020-03-22",5560
"Italy","2020-03-23",4789
"Italy","2020-03-24",5249
"Italy","2020-03-25",5210
"Italy","2020-03-26",6203
"Italy","2020-03-27",5909
"Italy","2020-03-28",5974
"Italy","2020-03-29",5217
"Italy","2020-03-30",4050
"Italy","2020-03-31",4053
"Italy","2020-04-01",4782
"Italy","2020-04-02",4668
"Italy","2020-04-03",4585
"Italy","2020-04-04",4805
"Italy","2020-04-05",4316
"Italy","2020-04-06",3599
"Italy","2020-04-07",3039
"Italy","2020-04-08",3836
"Italy","2020-04-09",4204
"Italy","2020-04-10",3951
"Italy","2020-04-11",4694
"Italy","2020-04-12",4092
"Italy","2020-04-13",3153
"Italy","2020-04-14",2972
"Italy","2020-04-15",2667
"Italy","2020-04-16",3786
"Italy","2020-04-17",3493
"Italy","2020-04-18",3491
"Italy","2020-04-19",3047
"Italy","2020-04-20",2256
"Italy","2020-04-21",2729
"Italy","2020-04-22",3370
"Italy","2020-04-23",2646
"Italy","2020-04-24",3021
"Italy","2020-04-25",2357
"Italy","2020-04-26",2324
"Italy","2020-04-27",1739
"Italy","2020-04-28",2091
"Italy","2020-04-29",2086
"Italy","2020-04-30",1872
"Italy","2020-05-01",1965
"Italy","2020-05-02",1900
"Italy","2020-05-03",1389
"Italy","2020-05-04",1221
"Italy","2020-05-05",1075
"Italy","2020-05-06",1444
"Italy","2020-05-07",1401
"Italy","2020-05-08",1327
"Italy","2020-05-09",1083
"Italy","2020-05-10",802
"Italy","2020-05-11",744
"Italy","2020-05-12",1402
"Italy","2020-05-13",888
"Italy","2020-05-14",992
"Italy","2020-05-15",789
"Italy","2020-05-16",875
"Italy","2020-05-17",675
"Italy","2020-05-18",451
"Italy","2020-05-19",813
"Italy","2020-05-20",665
"Italy","2020-05-21",642
"Italy","2020-05-22",652
"Italy","2020-05-23",669
"Italy","2020-05-24",531
"Italy","2020-05-25",300
"Italy","2020-05-26",397
"Italy","2020-05-27",584
"Italy","2020-05-28",593
"Italy","2020-05-29",516
"Italy","2020-05-30",416
"Italy","2020-05-31",333
"Italy","2020-06-01",200
"Italy","2020-06-02",318
"Italy","2020-06-03",321
"Italy","2020-06-04",177
"Italy","2020-06-05",518
"Italy","2020-06-06",270
"Italy","2020-06-07",197
"Italy","2020-06-08",280
"Italy","2020-06-09",283
"Italy","2020-06-10",202
"Italy","2020-06-11",379
"Italy","2020-06-12",163
"Italy","2020-06-13",346
"Italy","2020-06-14",338
"Italy","2020-06-15",301
"Italy","2020-06-16",210
"Italy","2020-06-17",328
"Italy","2020-06-18",331
"Italy","2020-06-19",-148
"Italy","2020-06-20",264
"Italy","2020-06-21",224
"Italy","2020-06-22",221
"Italy","2020-06-23",113
"Italy","2020-06-24",577
"Italy","2020-06-25",296
"Italy","2020-06-26",255
"Italy","2020-06-27",175
"Italy","2020-06-28",174
"Italy","2020-06-29",126
"Italy","2020-06-30",142
"Italy","2020-07-01",182
"Italy","2020-07-02",201
"Italy","2020-07-03",223
"Italy","2020-07-04",235
"Italy","2020-07-05",192
"Italy","2020-07-06",208
"Italy","2020-07-07",137
"Italy","2020-07-08",193
"Italy","2020-07-09",214
"Italy","2020-07-10",276
"Italy","2020-07-11",188
"Italy","2020-07-12",234
"Italy","2020-07-13",169
"Italy","2020-07-14",114
"Italy","2020-07-15",162
"Italy","2020-07-16",230
"Italy","2020-07-17",231
"Italy","2020-07-18",249
"Italy","2020-07-19",218
"Italy","2020-07-20",190
"Italy","2020-07-21",128
"Italy","2020-07-22",280
"Italy","2020-07-23",306
"Italy","2020-07-24",252
"Italy","2020-07-25",274
"Italy","2020-07-26",254
"Italy","2020-07-27",168
"Italy","2020-07-28",202
"Italy","2020-07-29",288
"Italy","2020-07-30",382
"Italy","2020-07-31",379
"Italy","2020-08-01",295
"Italy","2020-08-02",238
"Italy","2020-08-03",159
"Italy","2020-08-04",190
"Italy","2020-08-05",384
"Italy","2020-08-06",401
"Italy","2020-08-07",552
"Italy","2020-08-08",347
"Italy","2020-08-09",463
"Italy","2020-08-10",259
"Italy","2020-08-11",412
"Italy","2020-08-12",476
"Italy","2020-08-13",522
"Italy","2020-08-14",574
"Italy","2020-08-15",629
"Italy","2020-08-16",477
"Italy","2020-08-17",320
"Italy","2020-08-18",401
"Italy","2020-08-19",642
"Italy","2020-08-20",840
"Italy","2020-08-21",947
"Italy","2020-08-22",1071
"Italy","2020-08-23",1209
"Italy","2020-08-24",953
"Italy","2020-08-25",876
"Italy","2020-08-26",1366
"Italy","2020-08-27",1409
"Italy","2020-08-28",1460
"Italy","2020-08-29",1444
"Italy","2020-08-30",1365
"Italy","2020-08-31",996
"Italy","2020-09-01",975
"Italy","2020-09-02",1326
"Italy","2020-09-03",1397
"Italy","2020-09-04",1732
"Italy","2020-09-05",1694
"Italy","2020-09-06",1296
"Italy","2020-09-07",1150
"Italy","2020-09-08",1369
"Italy","2020-09-09",1430
"Italy","2020-09-10",1597
"Italy","2020-09-11",1616
"Italy","2020-09-12",1501
"Italy","2020-09-13",1456
"Italy","2020-09-14",1008
"Italy","2020-09-15",1229
"Italy","2020-09-16",1452
"Italy","2020-09-17",1583
"Italy","2020-09-18",1907
"Italy","2020-09-19",1637
"Italy","2020-09-20",1587
"Italy","2020-09-21",1350
"Italy","2020-09-22",1391
"Italy","2020-09-23",1640
"Italy","2020-09-24",1786
"Italy","2020-09-25",1912
"Italy","2020-09-26",1869
"Italy","2020-09-27",1766
"Italy","2020-09-28",1494
"Italy","2020-09-29",1647
"Italy","2020-09-30",1850
"Italy","2020-10-01",2548
"Italy","2020-10-02",2499
"Italy","2020-10-03",2843
"Italy","2020-10-04",2578
"Italy","2020-10-05",2257
"Italy","2020-10-06",2677
"Italy","2020-10-07",3677
"Italy","2020-10-08",4458
"Italy","2020-10-09",5372
"Italy","2020-10-10",5724
"Italy","2020-10-11",5456
"Italy","2020-10-12",4619
"Italy","2020-10-13",5898
"Italy","2020-10-14",7332
"Italy","2020-10-15",8803
"Italy","2020-10-16",10009
"Italy","2020-10-17",10925
"Italy","2020-10-18",11705
"Italy","2020-10-19",9337
"Italy","2020-10-20",10871
"Italy","2020-10-21",15199
"Italy","2020-10-22",16078
"Italy","2020-10-23",19143
"Italy","2020-10-24",19640
"Italy","2020-10-25",21273
"Italy","2020-10-26",17007
"Italy","2020-10-27",21989
"Italy","2020-10-28",24988
"Italy","2020-10-29",26829
"Italy","2020-10-30",31079
"Italy","2020-10-31",31756
"Italy","2020-11-01",29905
"Italy","2020-11-02",22253
"Italy","2020-11-03",28241
"Italy","2020-11-04",30548
"Italy","2020-11-05",34502
"Italy","2020-11-06",37802
"Italy","2020-11-07",39809
"Italy","2020-11-08",32614
"Italy","2020-11-09",25269
"Italy","2020-11-10",35090
"Italy","2020-11-11",32961
"Italy","2020-11-12",37977
"Italy","2020-11-13",40902
"Italy","2020-11-14",37249
"Italy","2020-11-15",33977
"Italy","2020-11-16",27352
"Italy","2020-11-17",32191
"Italy","2020-11-18",34280
"Italy","2020-11-19",36176
"Italy","2020-11-20",37239
"Italy","2020-11-21",34764
"Italy","2020-11-22",28337
"Italy","2020-11-23",22927
"Italy","2020-11-24",23227
"Italy","2020-11-25",25852
"Italy","2020-11-26",29001
"Italy","2020-11-27",28342
"Italy","2020-11-28",26315
"Italy","2020-11-29",20646
"Italy","2020-11-30",16376
"Italy","2020-12-01",19347
"Italy","2020-12-02",20709
"Italy","2020-12-03",23219
"Italy","2020-12-04",24110
"Italy","2020-12-05",21052
"Italy","2020-12-06",18887
"Italy","2020-12-07",13679
"Italy","2020-12-08",14837
"Italy","2020-12-09",12755
"Italy","2020-12-10",16998
"Italy","2020-12-11",18726
"Italy","2020-12-12",19902
"Italy","2020-12-13",17937
"Italy","2020-12-14",12025
"Italy","2020-12-15",14839
"Italy","2020-12-16",17568
"Italy","2020-12-17",18233
"Italy","2020-12-18",15401
"Italy","2020-12-19",16305
"Italy","2020-12-20",15102
"Italy","2020-12-21",10869
"Italy","2020-12-22",13316
"Spain","2020-01-22",0
"Spain","2020-01-23",0
"Spain","2020-01-24",0
"Spain","2020-01-25",0
"Spain","2020-01-26",0
"Spain","2020-01-27",0
"Spain","2020-01-28",0
"Spain","2020-01-29",0
"Spain","2020-01-30",0
"Spain","2020-01-31",0
"Spain","2020-02-01",1
"Spain","2020-02-02",0
"Spain","2020-02-03",0
"Spain","2020-02-04",0
"Spain","2020-02-05",0
"Spain","2020-02-06",0
"Spain","2020-02-07",0
"Spain","2020-02-08",0
"Spain","2020-02-09",1
"Spain","2020-02-10",0
"Spain","2020-02-11",0
"Spain","2020-02-12",0
"Spain","2020-02-13",0
"Spain","2020-02-14",0
"Spain","2020-02-15",0
"Spain","2020-02-16",0
"Spain","2020-02-17",0
"Spain","2020-02-18",0
"Spain","2020-02-19",0
"Spain","2020-02-20",0
"Spain","2020-02-21",0
"Spain","2020-02-22",0
"Spain","2020-02-23",0
"Spain","2020-02-24",0
"Spain","2020-02-25",4
"Spain","2020-02-26",7
"Spain","2020-02-27",2
"Spain","2020-02-28",17
"Spain","2020-02-29",13
"Spain","2020-03-01",39
"Spain","2020-03-02",36
"Spain","2020-03-03",45
"Spain","2020-03-04",57
"Spain","2020-03-05",37
"Spain","2020-03-06",141
"Spain","2020-03-07",100
"Spain","2020-03-08",173
"Spain","2020-03-09",400
"Spain","2020-03-10",622
"Spain","2020-03-11",582
"Spain","2020-03-12",0
"Spain","2020-03-13",2955
"Spain","2020-03-14",1159
"Spain","2020-03-15",1407
"Spain","2020-03-16",2144
"Spain","2020-03-17",1806
"Spain","2020-03-18",2162
"Spain","2020-03-19",4053
"Spain","2020-03-20",2447
"Spain","2020-03-21",4964
"Spain","2020-03-22",3394
"Spain","2020-03-23",6368
"Spain","2020-03-24",4749
"Spain","2020-03-25",9630
"Spain","2020-03-26",8271
"Spain","2020-03-27",7933
"Spain","2020-03-28",7516
"Spain","2020-03-29",6875
"Spain","2020-03-30",7846
"Spain","2020-03-31",7967
"Spain","2020-04-01",8195
"Spain","2020-04-02",7947
"Spain","2020-04-03",7134
"Spain","2020-04-04",6969
"Spain","2020-04-05",5478
"Spain","2020-04-06",5029
"Spain","2020-04-07",5267
"Spain","2020-04-08",6278
"Spain","2020-04-09",5002
"Spain","2020-04-10",5051
"Spain","2020-04-11",4754
"Spain","2020-04-12",3804
"Spain","2020-04-13",3268
"Spain","2020-04-14",2442
"Spain","2020-04-15",5103
"Spain","2020-04-16",7304
"Spain","2020-04-17",5891
"Spain","2020-04-18",887
"Spain","2020-04-19",6948
"Spain","2020-04-20",1536
"Spain","2020-04-21",3968
"Spain","2020-04-22",4211
"Spain","2020-04-23",4635
"Spain","2020-04-24",-10034
"Spain","2020-04-25",2915
"Spain","2020-04-26",1729
"Spain","2020-04-27",1831
"Spain","2020-04-28",1308
"Spain","2020-04-29",2144
"Spain","2020-04-30",518
"Spain","2020-05-01",1781
"Spain","2020-05-02",1366
"Spain","2020-05-03",884
"Spain","2020-05-04",545
"Spain","2020-05-05",1318
"Spain","2020-05-06",996
"Spain","2020-05-07",1122
"Spain","2020-05-08",1410
"Spain","2020-05-09",721
"Spain","2020-05-10",772
"Spain","2020-05-11",3086
"Spain","2020-05-12",594
"Spain","2020-05-13",661
"Spain","2020-05-14",849
"Spain","2020-05-15",643
"Spain","2020-05-16",515
"Spain","2020-05-17",0
"Spain","2020-05-18",908
"Spain","2020-05-19",431
"Spain","2020-05-20",518
"Spain","2020-05-21",482
"Spain","2020-05-22",1787
"Spain","2020-05-23",466
"Spain","2020-05-24",482
"Spain","2020-05-25",-372
"Spain","2020-05-26",859
"Spain","2020-05-27",0
"Spain","2020-05-28",1647
"Spain","2020-05-29",658
"Spain","2020-05-30",664
"Spain","2020-05-31",251
"Spain","2020-06-01",159
"Spain","2020-06-02",294
"Spain","2020-06-03",394
"Spain","2020-06-04",334
"Spain","2020-06-05",318
"Spain","2020-06-06",332
"Spain","2020-06-07",240
"Spain","2020-06-08",167
"Spain","2020-06-09",249
"Spain","2020-06-10",314
"Spain","2020-06-11",427
"Spain","2020-06-12",502
"Spain","2020-06-13",396
"Spain","2020-06-14",323
"Spain","2020-06-15",181
"Spain","2020-06-16",219
"Spain","2020-06-17",355
"Spain","2020-06-18",585
"Spain","2020-06-19",307
"Spain","2020-06-20",363
"Spain","2020-06-21",334
"Spain","2020-06-22",232
"Spain","2020-06-23",248
"Spain","2020-06-24",334
"Spain","2020-06-25",400
"Spain","2020-06-26",419
"Spain","2020-06-27",564
"Spain","2020-06-28",301
"Spain","2020-06-29",200
"Spain","2020-06-30",301
"Spain","2020-07-01",388
"Spain","2020-07-02",444
"Spain","2020-07-03",442
"Spain","2020-07-04",0
"Spain","2020-07-05",0
"Spain","2020-07-06",1244
"Spain","2020-07-07",341
"Spain","2020-07-08",383
"Spain","2020-07-09",543
"Spain","2020-07-10",852
"Spain","2020-07-11",0
"Spain","2020-07-12",0
"Spain","2020-07-13",2045
"Spain","2020-07-14",666
"Spain","2020-07-15",875
"Spain","2020-07-16",1361
"Spain","2020-07-17",1400
"Spain","2020-07-18",0
"Spain","2020-07-19",0
"Spain","2020-07-20",4581
"Spain","2020-07-21",1358
"Spain","2020-07-22",1357
"Spain","2020-07-23",2615
"Spain","2020-07-24",2255
"Spain","2020-07-25",0
"Spain","2020-07-26",0
"Spain","2020-07-27",6361
"Spain","2020-07-28",1828
"Spain","2020-07-29",2031
"Spain","2020-07-30",2789
"Spain","2020-07-31",3092
"Spain","2020-08-01",0
"Spain","2020-08-02",0
"Spain","2020-08-03",8532
"Spain","2020-08-04",5760
"Spain","2020-08-05",2953
"Spain","2020-08-06",4088
"Spain","2020-08-07",4507
"Spain","2020-08-08",0
"Spain","2020-08-09",0
"Spain","2020-08-10",8618
"Spain","2020-08-11",3632
"Spain","2020-08-12",3172
"Spain","2020-08-13",7550
"Spain","2020-08-14",5479
"Spain","2020-08-15",0
"Spain","2020-08-16",0
"Spain","2020-08-17",16269
"Spain","2020-08-18",5114
"Spain","2020-08-19",6671
"Spain","2020-08-20",7039
"Spain","2020-08-21",8148
"Spain","2020-08-22",0
"Spain","2020-08-23",0
"Spain","2020-08-24",19382
"Spain","2020-08-25",7117
"Spain","2020-08-26",7296
"Spain","2020-08-27",9658
"Spain","2020-08-28",9779
"Spain","2020-08-29",0
"Spain","2020-08-30",0
"Spain","2020-08-31",23572
"Spain","2020-09-01",8115
"Spain","2020-09-02",8581
"Spain","2020-09-03",8959
"Spain","2020-09-04",10476
"Spain","2020-09-05",0
"Spain","2020-09-06",0
"Spain","2020-09-07",26560
"Spain","2020-09-08",8964
"Spain","2020-09-09",8866
"Spain","2020-09-10",10764
"Spain","2020-09-11",12183
"Spain","2020-09-12",0
"Spain","2020-09-13",0
"Spain","2020-09-14",27404
"Spain","2020-09-15",9437
"Spain","2020-09-16",11193
"Spain","2020-09-17",11291
"Spain","2020-09-18",14389
"Spain","2020-09-19",0
"Spain","2020-09-20",0
"Spain","2020-09-21",31428
"Spain","2020-09-22",10799
"Spain","2020-09-23",11289
"Spain","2020-09-24",10653
"Spain","2020-09-25",12272
"Spain","2020-09-26",0
"Spain","2020-09-27",0
"Spain","2020-09-28",31785
"Spain","2020-09-29",0
"Spain","2020-09-30",20922
"Spain","2020-10-01",9419
"Spain","2020-10-02",11325
"Spain","2020-10-03",0
"Spain","2020-10-04",0
"Spain","2020-10-05",23480
"Spain","2020-10-06",11998
"Spain","2020-10-07",10491
"Spain","2020-10-08",12423
"Spain","2020-10-09",12788
"Spain","2020-10-10",0
"Spain","2020-10-11",0
"Spain","2020-10-12",27856
"Spain","2020-10-13",7118
"Spain","2020-10-14",11970
"Spain","2020-10-15",13318
"Spain","2020-10-16",15186
"Spain","2020-10-17",0
"Spain","2020-10-18",0
"Spain","2020-10-19",37889
"Spain","2020-10-20",13873
"Spain","2020-10-21",16973
"Spain","2020-10-22",20986
"Spain","2020-10-23",19851
"Spain","2020-10-24",0
"Spain","2020-10-25",0
"Spain","2020-10-26",52188
"Spain","2020-10-27",18418
"Spain","2020-10-28",19765
"Spain","2020-10-29",23580
"Spain","2020-10-30",25595
"Spain","2020-10-31",0
"Spain","2020-11-01",0
"Spain","2020-11-02",55019
"Spain","2020-11-03",18669
"Spain","2020-11-04",25042
"Spain","2020-11-05",21908
"Spain","2020-11-06",22516
